SOP Type,SOP Number,Document Date,Customer Number,Customer Name,Document Amount,Customer Class,Purchase,Sales Territory,Salesperson ID,State
Quote,ORDST2225,5/23/2027 0:00,CENTRALD0001,Central Distributing,1925.95,USA-MNWI-T4,,TERRITORY 4,SANDRA M.,WI
Quote,QTEST1022,3/5/2027 0:00,AARONFIT0001,Aaron Fitz Electrical,85.55,USA-ILMO-T1,,TERRITORY 1,PAUL W.,IL
Quote,QTEST1023,3/5/2027 0:00,BAKERSEM0001,Baker's Emporium Inc.,10.65,USA-INMI-T2,,TERRITORY 2,GREG E.,IN
Quote,ORDST2226,4/12/2027 0:00,AARONFIT0001,Aaron Fitz Electrical,930.2,USA-ILMO-T1,,TERRITORY 1,PAUL W.,IL
Quote,ORDST2227,4/12/2027 0:00,BERRYMED0001,Berry Medical Center,1683.35,USA-MNWI-T4,,TERRITORY 4,SANDRA M.,WI
Quote,ORDST2228,4/12/2027 0:00,CELLULAR0001,Cellular Express,571.65,USA-ILMO-T1,,TERRITORY 1,PAUL W.,IL
Quote,ORDST2229,4/12/2027 0:00,ALTONMAN0001,Alton Manufacturing,43982.01,USA-INMI-T2,,TERRITORY 2,GREG E.,MI
Quote,FULORD1000,4/12/2027 0:00,AARONFIT0001,Aaron Fitz Electrical,358.25,USA-ILMO-T1,,TERRITORY 1,PAUL W.,IL
Quote,FULORD1001,4/12/2027 0:00,ADAMPARK0001,Adam Park Resort,522.6,USA-INMI-T2,,TERRITORY 2,GREG E.,IN
Quote,FULORD1002,4/12/2027 0:00,ADVANCED0001,Advanced Paper Co.,191,USA-ILMO-T1,,TERRITORY 1,PAUL W.,IL
Quote,FULORD1003,4/12/2027 0:00,AARONFIT0001,Aaron Fitz Electrical,49.85,USA-ILMO-T1,,TERRITORY 1,PAUL W.,IL
Quote,FULORD1004,4/12/2027 0:00,ADVANCED0001,Advanced Paper Co.,24.95,USA-ILMO-T1,,TERRITORY 1,PAUL W.,IL
Quote,FULORD1005,4/12/2027 0:00,ADAMPARK0001,Adam Park Resort,89.55,USA-INMI-T2,,TERRITORY 2,GREG E.,IN
Quote,FULORD1006,4/12/2027 0:00,AARONFIT0001,Aaron Fitz Electrical,5828.55,USA-ILMO-T1,,TERRITORY 1,PAUL W.,IL
Quote,FULORD1007,4/12/2027 0:00,ADAMPARK0001,Adam Park Resort,759.65,USA-INMI-T2,,TERRITORY 2,GREG E.,IN
Quote,FULORD1008,4/12/2027 0:00,AARONFIT0001,Aaron Fitz Electrical,192.45,USA-ILMO-T1,,TERRITORY 1,PAUL W.,IL
Quote,RMA002001,8/6/2028 0:00,GREENWAY0001,Greenway Foods,2806.61,USA-ILMO-T1,,TERRITORY 1,PAUL W.,IL
Quote,QTEST1024,4/12/2027 0:00,AARONFIT0001,Aaron Fitz Electrical,34240,USA-ILMO-T1,,TERRITORY 1,PAUL W.,IL
Quote,ORDST2230,4/12/2027 0:00,BAKERSEM0001,Baker's Emporium Inc.,135.2,USA-INMI-T2,,TERRITORY 2,GREG E.,IN
Quote,ORDST2231,4/12/2027 0:00,BAKERSEM0001,Baker's Emporium Inc.,34240,USA-INMI-T2,,TERRITORY 2,GREG E.,IN
Quote,ORDST2232,4/12/2027 0:00,ROSELLEN0001,Rosellen General Hospital,34240,CAN-ONMBSK-T6,,TERRITORY 6,GARY W.,SK
